Thu Jul  8 14:32:16 2021    main.prof

         2744816 function calls (2355774 primitive calls) in 1.114 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argmax)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
   183/18    0.000    0.000    0.139    0.008 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      457    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      160    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      457    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      297    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    227/4    0.000    0.000    0.151    0.038 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      246    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      146    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  146/144    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    146/4    0.001    0.000    0.152    0.038 <frozen importlib._bootstrap>:650(_load_unlocked)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      457    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      449    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      449    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
      155    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    160/5    0.000    0.000    0.154    0.031 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    160/5    0.001    0.000    0.154    0.031 <frozen importlib._bootstrap>:986(_find_and_load)
      112    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       22    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
    22/17    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      350    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      143    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      143    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      307    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      224    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      112    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     1466    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     1466    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
